Date,Nifty,Gold,Liquid
2001-07-14,1110.45,267.6,114.31191026224208
2001-07-15,1110.45,267.6,114.33396400497315
2001-07-16,1105.55,267.4,114.3560220024452
2001-07-17,1103.1,268.6,114.37808425547908
2001-07-18,1091.95,270.8,114.40015076489578
2001-07-19,1085.9,269.7,114.42248136090004
2001-07-20,1077.7,270.2,114.44481631577544
2001-07-21,1077.7,270.2,114.46715563037284
2001-07-22,1077.7,270.2,114.48949930554326
2001-07-23,1070.65,269.1,114.51184734213786
2001-07-24,1072.55,270.0,114.53419974100797
2001-07-25,1064.2,267.8,114.5565565030051
2001-07-26,1053.4,266.3,114.57878737974542
2001-07-27,1051.7,267.4,114.60102257061575
2001-07-28,1051.7,267.4,114.62326207645336
2001-07-29,1051.7,267.4,114.64550589809554
2001-07-30,1061.45,267.6,114.66775403637985
2001-07-31,1072.85,269.2,114.69000649214397
2001-08-01,1063.15,270.3,114.71226326622572
2001-08-02,1066.0,270.3,114.73426413547963
2001-08-03,1074.6,270.8,114.75626922431948
2001-08-04,1074.6,270.8,114.77827853355448
2001-08-05,1074.6,270.8,114.8002920639941
2001-08-06,1075.25,269.9,114.82230981644793
2001-08-07,1072.1,269.9,114.84433179172572
2001-08-08,1068.0,270.7,114.86635799063734
2001-08-09,1070.65,276.2,114.88825812721971
2001-08-10,1071.15,276.8,114.91016243922812
2001-08-11,1071.15,276.8,114.93207092745868
2001-08-12,1071.15,276.8,114.95398359270754
2001-08-13,1063.0,278.6,114.97590043577117
2001-08-14,1075.5,279.1,114.997821457446
2001-08-15,1075.5,278.4,115.0194857867585
2001-08-16,1078.95,277.9,115.0411541973932
2001-08-17,1069.2,282.0,115.062826690119
2001-08-18,1069.2,282.0,115.08450326570494
2001-08-19,1069.2,282.0,115.10618392492016
2001-08-20,1063.75,278.6,115.12786866853398
2001-08-21,1068.7,277.4,115.14955749731584
2001-08-22,1068.7,277.3,115.1712504120354
2001-08-23,1071.5,277.7,115.19294741346232
2001-08-24,1069.15,274.9,115.21464850236654
2001-08-25,1069.15,274.9,115.2363536795181
2001-08-26,1069.15,274.9,115.25806294568716
2001-08-27,1072.55,274.9,115.27977630164408
2001-08-28,1070.65,274.4,115.30149374815927
2001-08-29,1067.45,275.8,115.32321528600342
2001-08-30,1064.15,277.5,115.34481011098524
2001-08-31,1053.75,276.5,115.3664089797016
2001-09-01,1053.75,276.5,115.38801189290966
2001-09-02,1053.75,276.5,115.4096188513668
2001-09-03,1048.05,276.5,115.43122985583052
2001-09-04,1048.2,273.7,115.45284490705842
2001-09-05,1045.0,274.1,115.4744640058083
2001-09-06,1036.1,275.0,115.49608715283809
2001-09-07,1035.2,275.1,115.5177143489058
2001-09-08,1035.2,275.1,115.53934559476969
2001-09-09,1035.2,275.1,115.56098089118808
2001-09-10,1033.4,273.7,115.58262023891945
2001-09-11,1023.4,280.0,115.6042636387224
2001-09-12,982.2,280.0,115.62591109135576
2001-09-13,971.7,280.0,115.64808719075312
2001-09-14,919.7,292.3,115.67026754334408
2001-09-15,919.7,292.3,115.69245214994436
2001-09-16,919.7,292.3,115.71464101136984
2001-09-17,872.25,291.5,115.73683412843658
2001-09-18,900.2,289.7,115.75903150196076
2001-09-19,912.2,292.3,115.78123313275874
2001-09-20,898.8,289.8,115.8040962784006
2001-09-21,854.2,292.9,115.82696393879338
2001-09-22,854.2,292.9,115.8498361148286
2001-09-23,854.2,292.9,115.87271280739796
2001-09-24,869.05,290.9,115.89559401739332
2001-09-25,861.4,291.8,115.91847974570676
2001-09-26,873.7,294.8,115.94136999323044
2001-09-27,890.0,293.2,115.96360659505238
2001-09-28,913.85,294.0,115.98584746167175
2001-09-29,913.85,294.0,116.00809259390655
2001-09-30,913.85,294.0,116.0303419925749
2001-10-01,910.1,293.5,116.05259565849502
2001-10-02,910.1,290.9,116.07485359248535
2001-10-03,899.65,291.0,116.0971157953645
2001-10-04,911.65,291.6,116.1189872196832
2001-10-05,914.6,292.5,116.14086276433854
2001-10-06,914.6,292.5,116.16274243010676
2001-10-07,914.6,292.5,116.18462621776423
2001-10-08,901.95,293.4,116.20651412808748
2001-10-09,912.7,289.7,116.22840616185316
2001-10-10,940.35,286.7,116.25030231983808
2001-10-11,954.9,282.6,116.27233445932652
2001-10-12,960.4,285.7,116.29437077441844
2001-10-13,960.4,285.7,116.31641126590527
2001-10-14,960.4,285.7,116.3384559345785
2001-10-15,963.4,282.7,116.36050478122982
2001-10-16,971.25,282.9,116.38255780665104
2001-10-17,986.25,284.0,116.40461501163414
2001-10-18,972.05,279.8,116.4269404600431
2001-10-19,976.65,280.7,116.44927019028955
2001-10-20,976.65,280.7,116.47160420319476
2001-10-21,976.65,280.7,116.49394249958009
2001-10-22,976.4,276.1,116.51628508026704
2001-10-23,993.2,276.5,116.53863194607732
2001-10-24,991.2,276.3,116.56098309783282
2001-10-25,983.2,278.2,116.58214929498274
2001-10-26,983.2,278.3,116.60331933568212
2001-10-27,983.2,278.3,116.62449322062888
2001-10-28,983.2,278.3,116.64567095052112
2001-10-29,977.45,279.7,116.666852526057
2001-10-30,963.1,281.2,116.68803794793487
2001-10-31,971.9,280.5,116.7092272168532
2001-11-01,994.0,280.7,116.7306847678418
2001-11-02,997.6,280.8,116.75214626390404
2001-11-03,997.6,280.8,116.77361170576522
2001-11-04,997.6,280.8,116.7950810941508
2001-11-05,991.05,279.5,116.81655442978638
2001-11-06,1001.9,280.2,116.83803171339768
2001-11-07,987.5,281.3,116.85951294571052
2001-11-08,997.7,277.1,116.88099812745092
2001-11-09,1004.05,277.7,116.902487259345
2001-11-10,1004.05,277.7,116.923980342119
2001-11-11,1004.05,277.7,116.94547737649933
2001-11-12,1010.9,278.6,116.96697836321248
2001-11-13,1005.4,278.0,116.98848330298512
2001-11-14,1015.8,278.0,117.00999219654408
2001-11-15,1035.7,275.3,117.03150504461622
2001-11-16,1035.7,274.9,117.05302184792863
2001-11-17,1035.7,274.9,117.0745426072085
2001-11-18,1035.7,274.9,117.09606732318314
2001-11-19,1068.15,272.9,117.11759599658
2001-11-20,1050.2,273.2,117.1391286281267
2001-11-21,1056.35,273.1,117.16066521855092
2001-11-22,1062.45,273.1,117.18220576858056
2001-11-23,1059.0,273.1,117.20375027894362
2001-11-24,1059.0,273.1,117.22529875036818
2001-11-25,1059.0,273.1,117.24685118358254
2001-11-26,1080.6,272.5,117.26840757931508
2001-11-27,1076.05,273.4,117.28996793829432
2001-11-28,1070.8,274.1,117.31153226124891
2001-11-29,1067.15,274.7,117.33243653349496
2001-11-30,1067.15,274.9,117.35334453076776
2001-12-01,1067.15,274.9,117.3742562537311
2001-12-02,1067.15,274.9,117.3951717030489
2001-12-03,1065.4,277.9,117.41609087938517
2001-12-04,1077.7,276.3,117.43701378340404
2001-12-05,1104.55,274.6,117.45794041576974
2001-12-06,1110.45,275.0,117.47913658607484
2001-12-07,1112.3,274.7,117.50033658138858
2001-12-08,1112.3,274.7,117.5215404024012
2001-12-09,1112.3,274.7,117.54274804980308
2001-12-10,1115.25,273.0,117.56395952428473
2001-12-11,1110.2,272.9,117.58517482653671
2001-12-12,1107.65,274.5,117.60639395724988
2001-12-13,1098.75,274.6,117.62814985129478
2001-12-14,1087.85,278.6,117.64990976994166
2001-12-15,1087.85,278.6,117.67167371393502
2001-12-16,1087.85,278.6,117.6934416840195
2001-12-17,1087.85,278.3,117.71521368093993
2001-12-18,1082.3,280.9,117.73698970544116
2001-12-19,1060.75,276.0,117.75876975826829
2001-12-20,1062.0,276.5,117.78122135494628
2001-12-21,1050.85,278.3,117.80367723219037
2001-12-22,1050.85,278.3,117.82613739081664
2001-12-23,1050.85,278.3,117.84860183164136
2001-12-24,1048.5,278.3,117.87107055548096
2001-12-25,1048.5,278.3,117.89354356315208
2001-12-26,1034.25,279.6,117.91602085547142
2001-12-27,1020.0,277.7,117.9394393002709
2001-12-28,1033.8,276.8,117.96286239603768
2001-12-29,1033.8,276.8,117.98629014369548
2001-12-30,1033.8,276.8,118.00972254416811
2001-12-31,1059.05,279.0,118.03315959837973
2002-01-01,1055.3,279.0,118.05660130725448
2002-01-02,1060.75,279.2,118.08004767171684
2002-01-03,1072.25,278.5,118.10256052244964
2002-01-04,1096.2,279.2,118.12507766542704
2002-01-05,1096.2,279.2,118.1475991014674
2002-01-06,1096.2,279.2,118.17012483138924
2002-01-07,1100.15,278.9,118.1926548560112
2002-01-08,1109.9,279.2,118.2151891761521
2002-01-09,1102.8,283.7,118.2377277926309
